Match_Type,Eroski_ID,Eroski_Denomination,Makro_ID,Makro_Denomination,Similarity_Distance,Error_Type
True Positive,406108,"Salsa romesco FERRER, frasco 130 g",221698,FERRER salsa romesco frasco de 640 gramos,0.1809217929840088,
True Positive,25458803,"Mayonesa PRIMA, pack 12x10 ml",216807,PRIMA mayonesa caja contiene 230+100 bolsitas (3300 g),0.1842806339263916,
True Positive,14200331,"Ketchup HEINZ, bocabajo 700 g",89922,"HEINZ ketchup bidón 2,15l",0.1853621006011963,
True Positive,13320619,"Crema balsámica de frambuesa BORGES, botella 25 cl",106020,BORGES crema balsámica de frambuesa 400ml,0.18800318241119385,
True Positive,20166849,"Chorizo extra de León PALCARSA, sobre 100 g",128204,Palcarsa chorizo extra en lonchas 250g,0.1888343095779419,
True Positive,597518,"Gelatina neutra en polvo ROYAL, caja 20 g",160229,Royal gelatina neutra 20g,0.19419044256210327,
True Positive,16423733,"Yogur natural LACTUYOGUR, pack 4x125 g",144544,Lacturale yogur natural lactuyogur 125 g contiene 4 unidades,0.19567495584487915,
True Positive,13163480,"Membrillo SANTA TERESA, tarrina 310 g",66737,SANTA TERESA membrillo 310g,0.19654756784439087,
True Positive,8976227,"Queso Roquefort SOCIETÉ, tarrina 100 g",196081,SOCIÉTÉ queso roquefort cuña 100 g,0.20645871758460999,
True Positive,8367187,"Actimel para beber natural DANONE, pack 14x100 ml",2002,Actimel líquido natural 100 ml contiene 6 unidades,0.20670469105243683,
True Positive,16818957,"Fuet espetec CAN DURAN, pieza 150 g",9987,Can Duran fuet espetec 150 g contiene 2 unidades (total 300 g),0.20902955532073975,
True Positive,25035817,"Bebida vegetal de soja sin azúcar VEGETANEA, brik 1 litro",209526,Vegetánea bebida soja sin azúcar añadido 1 L contiene 6 unidades,0.20907270908355713,
True Positive,844498,"Filete de caballa del sur en aceite vegetal UBAGO, lata 85 g",595205,Ubago filete de macarela caballa aceite girasol 620 gne (950 g),0.21074481308460236,
True Positive,9658618,"Salsa teriyaki KIKKOMAN, frasco 250 g",208693,Kikkoman salsa teriyaki botella 975ml,0.21196341514587402,
True Positive,13320684,"Crema balsámica de Módena BORGES, botella 250 g",113583,BORGES crema balsámica de módena 400ml,0.2134852409362793,
True Positive,989483,"Arroz redondo SOS, paquete 500 g",198629,SOS arroz redondo clásico paquete 1kg,0.21586287021636963,
True Positive,21833744,"Tomate rallado EROSKI, tarrina 180 g",198494,Tomate rallado tarrina de 490g,0.2162843644618988,
True Positive,4534251,"Crema para carne KNORR BOVRIL, frasco 500 g",800774,Knorr Professional jugo carne bovril bote 500g,0.2168811559677124,
True Positive,10569911,"Bloc de oca MARTIKO, pack 2x40 g",144005,Martiko foie gras entero de oca caja 125g,0.22123585641384125,
True Positive,25948407,"Alubia blanca cocida EROSKI, frasco 400 g",210439,METRO Chef alubia cocida al natural frasco 400gne (540 g),0.22136124968528748,
True Positive,215681,"Cuajada DANONE, pack 2x135 g",521820,DANONe cuajada 135 g contiene 2 unidades,0.22225314378738403,
True Positive,15637820,"Tomate doble concentrado HIDA, lata 170 g",139663,Hida tomate doble concentrado lata 170gn contiene 6 unidades,0.22412526607513428,
True Positive,8552374,"Natillas de chocolate DANONE Danet, pack 8x120 g",217098,Danet chocolate 120 g contiene 4 unidades,0.2255159169435501,
True Positive,24879397,"Bebida de avena sin azúcar ALPRO, brik 1 litro",212683,alpro bebida de avena sin azucar 1L contiene 6 unidades,0.22564280033111572,
True Positive,540831,"Café molido FORTALEZA G. Orígenes Kenya, caja 250 g",3635,Fortaleza café molido kenya 250g contiene 4 unidades,0.22759008407592773,
True Positive,14266944,"Salsa mojo picón SALSAS ASTURIANAS, frasco 290 g",109682,Salsas Asturianas mojo rojo pet 1kg,0.2296581268310547,
True Positive,12243382,"Passata Di Pomodoro MUTTI, frasco 400 g",75967,MUTTI tomate passata lata 2500 g,0.23177433013916016,
True Positive,3481603,"Atún claro al natural bajo en sal CALVO, pack 3x56 g",174707,Calvo atún claro al natural 56 gne contiene 24 unidades (80 g),0.23413828015327454,
True Positive,231761,"Salchichón nobleza ELPOZO, al corte, compra mínima 100 g",799643,Elpozo salchichón nobleza,0.2403932809829712,
True Positive,23718042,"Foie gras de pato con trufa MARTIKO, tarrina 80 g",168723,Martiko foie gras pato con trufa 80g,0.24323567748069763,
True Positive,15993017,"Mayonesa EROSKI, bote 430 ml",139233,aro mayonesa 3600ml,0.24572959542274475,
True Positive,23511843,"Pechuga de pavo ELPOZO, bandeja 225 g",89366,Elpozo pechuga de pavo loncheado 225 g,0.24761724472045898,
True Positive,14905798,"Yogur sabor melocotón-maracuya PASTORET, tarrina 500 g",113895,Pastoret yogur melocotón maracuyá tarrina 500 g,0.25091707706451416,
True Positive,955240,"Garbanzo pedrosillano LUENGO, paquete 1 kg",195236,Luengo garbanzo pedrosillano 1 kg,0.25605738162994385,
True Positive,13320692,"Crema balsámica de manzana BORGES, botella 250 g",106024,BORGES crema balsámica de manzana 400ml,0.2567250728607178,
True Positive,11637675,"Salsa de curry-mango HEINZ, bocabajo 220 g",182992,HEINZ salsa curry mango 875 ml,0.2598506212234497,
True Positive,17141755,"Queso Havarti ARLA, lonchas, bandeja 150 g",46231,Arla queso havarti loncheado 1 Kg,0.26463186740875244,
True Positive,16886632,"Salsa de patatas deluxe HELLMANN'S, bocabajo 250 g",176668,HELLMANN'S salsa patatas de luxe bote 850ml,0.26464033126831055,
True Positive,16046385,"Bonito del norte en escabeche bajo en sal ORTIZ, lata 112 g",645541,Conservas Ortiz bonito en escabeche 175 gne contiene 2 unidades (260 g),0.2662314772605896,
