Match_Type,Eroski_ID,Eroski_Denomination,Makro_ID,Makro_Denomination,Similarity_Distance,Error_Type
True Positive,14218515,"Whisky Premium BUCHANAN¿S, botella 1 litro",12198,N/A,0.31299054622650146,
True Positive,4381216,"Vino Rosado D.O. Navarra HOMENAJE, botella 75 cl",746317,N/A,0.3133459687232971,
True Positive,19155787,"Ron Blanco NEGRITA, botella 1 litro",70885,N/A,0.3321875035762787,
True Positive,24281651,"Piña en rodajas DEL MONTE, pack 3x145 g",150120,N/A,0.3446289598941803,
True Positive,540856,"Café molido FORTALEZA G. Orígenes Colombia, caja 250 g",3629,N/A,0.34989771246910095,
True Positive,24112906,"Discos de fresa HARIBO, bolsa 80 g",201491,N/A,0.3579963445663452,
True Positive,25310897,"Queso de oveja de leche cruda añejo POK, cuña 250 g",61616,N/A,0.3581233024597168,
True Positive,19699628,"Torrijas caramelizadas CASA ECEIZA, caja 200 g",215227,N/A,0.35854676365852356,
True Positive,20033932,"Frutos del bosque LA CUERVA, bolsa 300 g",953654,N/A,0.3594585657119751,
True Positive,19522218,"Chimichurri picante SALSAS ASTURIANAS, frasco 295 g",42751,N/A,0.360129177570343,
True Positive,48777,"Vino Blanco D.O. Rioja EL COTO, botella 75 cl",44598,N/A,0.3637474775314331,
True Positive,8469819,"Tónica NORDIC MIST, lata 25 cl",368875,N/A,0.36428892612457275,
True Positive,23475064,"Salsa ligera EROSKI, bote 430 ml",914251,N/A,0.36455410718917847,
True Positive,18395848,"Foie de canard ZUBIA, lata 130 g",160692,N/A,0.36550721526145935,
True Positive,10870483,"Vermouth Rojo Reserva YZAGUIRRE, botella 1 litro",37744,N/A,0.37469571828842163,
True Positive,8488611,"Sobrasada de Mallorca CRISOL, pack 2x40 g",88573,N/A,0.3825005888938904,
True Positive,19522168,"Chimichurri SALSAS ASTURIANAS, frasco 295 g",42743,N/A,0.3843596875667572,
True Positive,17572181,"Chorizo picante ALEJANDRO, sarta 200 g",176832,N/A,0.3915405869483948,
True Positive,206821,"Albariño Blanco Rías Baixas MARTÍN CÓDAX, botella 75 cl",10920,N/A,0.3943300247192383,
True Positive,18314724,"Navaja al natural 4/8 piezas CUCA, lata 65 g",689481,N/A,0.39779147505760193,
True Positive,22384697,"Vermouth Rosso MARTINI, pack 4x6 cl",181045,N/A,0.39978501200675964,
True Positive,10870475,"Vermouth Blanco YZAGUIRRE, botella 1 litro",37740,N/A,0.4039849042892456,
True Positive,25613399,"Chorizo extra picante LA GLORIA RIOJANA, sarta 230 g",53048,N/A,0.4195481836795807,
True Positive,12352613,"Ron ZACAPA, botella 70 cl",625079,N/A,0.42591744661331177,
True Positive,313577,"Ginebra BEEFEATER, botella 70 cl",821353,N/A,0.43036043643951416,
True Positive,455725,"Pacharán I.G.P. Navarra BAINES, botella 1 litro",261495,N/A,0.4355018734931946,
True Positive,12080859,"Ensalada Gourmet Maxi EROSKI, bolsa 320 g",7173,N/A,0.45096004009246826,
True Positive,13230305,"Salsa bechamel KNORR, brik 500 ml",821210,N/A,0.45317918062210083,
True Positive,148189,"Caldo vegetal KNORR, 12 pastillas, caja 120 g",160867,N/A,0.46371421217918396,
True Positive,12788618,"Vino Blanco Rías Baixas MAR DE FRADES, botella 75 cl",41254,N/A,0.47700396180152893,
True Positive,2501872,"Albariño Rías Baixas TERRAS GAUDA, botella 75 cl",42017,N/A,0.4997141361236572,
True Positive,25636580,"Azafrán en hebras POTE, tarro 1 g",12022,N/A,0.5060645937919617,
True Positive,21983804,"Licor de nube BUITRAL, botella 1 litro",166246,N/A,0.5159120559692383,
True Positive,26253047,"Ginebra ENGINE, botella 70 cl",216290,N/A,0.5206066370010376,
True Positive,401240,"Txakoli D.O. Araba XARMANT, botella 75 cl",15129,N/A,0.521120548248291,
True Positive,18911701,"Aceite de girasol KOIPESOL, garrafa 3 litros",178529,N/A,0.5230509638786316,
True Positive,19793843,"Vino Blanco D.O. Rueda YLLERA, botella 75 cl",102113,N/A,0.5237659811973572,
True Positive,15350176,"Salsa de pimienta verde GALLINA BLANCA, sobre 50 g",15858,N/A,0.5243553519248962,
True Positive,308031,"Vino Blanco D.O. Cataluña TORRES VIÑA SOL, botella 75 cl",891709,N/A,0.5258207321166992,
True Positive,26523332,"Yogur griego natural KAIKU, pack 4x125 g",219222,N/A,0.5298896431922913,
True Positive,25005844,"Chorizo tradición REVILLA, bandeja 65 g",220698,N/A,0.5311946868896484,
True Positive,24187403,"Salmón al natural CALVO, pack 3x50 g",218940,N/A,0.5360394716262817,
True Positive,12526323,"Limpiador SANYTOL, botella 1,2 litros",7454,N/A,0.5413134098052979,
True Positive,3411378,"Queso fresco sin sal BURGO DE ARIAS, pack 3x72 g",41506,N/A,0.5441198945045471,
True Positive,18298000,"Acelga EROSKI, bolsa 300 g",275080,N/A,0.5489290952682495,
True Positive,14339998,"Ginebra inglesa BULLDOG, botella 70 cl",103317,N/A,0.5583241581916809,
True Positive,2452811,"Vino Tinto Reserva Rioja IMPERIAL, botella 75 cl",740740,N/A,0.5612726211547852,
True Positive,315168,"Bebida Espirituosa SOBERANO, botella 1 litro",76115,N/A,0.5878422260284424,
True Positive,17429788,"Whisky Gold Reserva CARDHU, botella 70 cl",149507,N/A,0.590930163860321,
True Positive,20333449,"Bayeta microfibra para cristales PLA, pack 1 u",166859,N/A,0.5938528776168823,
